declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
EM-3131,Emergency,1998-09-25,FL,Wakulla County,Hurricane,Hurricane Grorges,09/25/1998,10/02/1998,05/05/2009,No,No,Yes,No,1998,9
EM-3131,Emergency,1998-09-25,FL,Walton County,Hurricane,Hurricane Grorges,09/25/1998,10/02/1998,05/05/2009,No,No,Yes,No,1998,9
EM-3131,Emergency,1998-09-25,FL,Washington County,Hurricane,Hurricane Grorges,09/25/1998,10/02/1998,05/05/2009,No,No,Yes,No,1998,9
DR-1249,Disaster,1998-09-28,FL,Bay County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Calhoun County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Columbia County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Escambia County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Franklin County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Gadsden County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Gulf County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Holmes County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Jackson County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Jefferson County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Liberty County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Monroe County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Okaloosa County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Santa Rosa County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Suwannee County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Walton County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
DR-1249,Disaster,1998-09-28,FL,Washington County,Hurricane,Hurricane Georges ,09/25/1998,10/07/1998,03/19/2013,Yes,No,Yes,Yes,1998,9
EM-3132,Emergency,1998-09-28,MS,Covington County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Forrest County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,George County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Greene County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Hancock County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Harrison County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Jackson County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Jefferson Davis County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Jones County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Lamar County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Lawrence County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Marion County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Pearl River County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Perry County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Pike County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Stone County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Walthall County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3132,Emergency,1998-09-28,MS,Wayne County,Hurricane,Hurricane Georges,09/28/1998,10/05/1998,05/09/2012,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Baldwin County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Butler County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Clarke County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Coffee County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Conecuh County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Covington County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Crenshaw County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Escambia County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Geneva County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Mobile County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Monroe County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
EM-3133,Emergency,1998-09-28,AL,Washington County,Hurricane,Hurricane Georges,09/28/1998,10/06/1998,07/12/2005,No,No,Yes,No,1998,9
DR-1250,Disaster,1998-09-30,AL,Baldwin County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Butler County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Choctaw County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Clarke County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Coffee County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Conecuh County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Covington County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Crenshaw County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Escambia County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Geneva County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Lowndes County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Mobile County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Monroe County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1250,Disaster,1998-09-30,AL,Washington County,Hurricane,Hurricane Georges - 18 Sep 98,09/25/1998,10/06/1998,08/19/2008,Yes,No,Yes,Yes,1998,9
DR-1251,Disaster,1998-10-01,MS,Covington County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Forrest County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,George County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Greene County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Hancock County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Harrison County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Jackson County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Jasper County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Jefferson Davis County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Jones County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Lamar County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Marion County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Pearl River County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Perry County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Pike County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Stone County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1251,Disaster,1998-10-01,MS,Wayne County,Hurricane,Hurricane Georges,09/25/1998,10/05/1998,09/27/2013,Yes,No,Yes,Yes,1998,10
DR-1252,Disaster,1998-10-05,WA,Ferry County,Storm,Wa Storms and Flooding 5/26/98,05/26/1998,05/29/1998,01/08/2003,No,No,Yes,Yes,1998,10
DR-1252,Disaster,1998-10-05,WA,Stevens County,Storm,Wa Storms and Flooding 5/26/98,05/26/1998,05/29/1998,01/08/2003,No,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Bourbon County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Cherokee County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Douglas County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Franklin County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Jackson County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Jefferson County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Johnson County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Leavenworth County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Linn County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Seward County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Wabaunsee County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1254,Disaster,1998-10-14,KS,Wyandotte County,Storm,"Severe Storms, Flooding and Tornadoes",10/01/1998,10/08/1998,01/08/2007,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Andrew County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Barton County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Caldwell County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Carroll County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Cedar County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Chariton County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Clay County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Dade County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,DeKalb County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Jackson County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Linn County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Livingston County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Macon County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Miller County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Moniteau County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Morgan County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Platte County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Polk County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1253,Disaster,1998-10-14,MO,Ray County,Storm,"Severe Storms, Flooding and Tornadoes",10/04/1998,10/11/1998,04/17/2006,Yes,No,Yes,Yes,1998,10
DR-1255,Disaster,1998-10-16,WA,Cowlitz County,Mud/Landslide,Wa Landslide 3/6/98,03/06/1998,11/19/1998,10/02/2003,Yes,No,Yes,Yes,1998,10
DR-1256,Disaster,1998-10-19,MO,St. Louis,Storm,Severe Storms and Flooding,07/10/1998,07/31/1998,07/22/2005,Yes,No,No,Yes,1998,10
DR-1256,Disaster,1998-10-19,MO,Jackson County,Storm,Severe Storms and Flooding,07/10/1998,07/31/1998,07/22/2005,Yes,No,No,Yes,1998,10
DR-1256,Disaster,1998-10-19,MO,St. Louis County,Storm,Severe Storms and Flooding,07/10/1998,07/31/1998,07/22/2005,Yes,No,No,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Atascosa County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Austin County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Bastrop County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Bexar County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Blanco County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Brazoria County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Burleson County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Caldwell County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Calhoun County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Colorado County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Comal County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,DeWitt County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Fayette County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Fort Bend County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Galveston County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Goliad County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Gonzales County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Grimes County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Guadalupe County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Harris County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Hays County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Jackson County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Jefferson County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Jim Wells County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Karnes County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Kendall County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Lavaca County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Liberty County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Matagorda County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Medina County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Montgomery County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Nueces County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Polk County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Refugio County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,San Jacinto County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,San Patricio County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Travis County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Trinity County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Victoria County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Walker County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Waller County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Wharton County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1257,Disaster,1998-10-21,TX,Wilson County,Flood,Tx-Flooding 10/18/98,10/17/1998,11/15/1998,06/19/2012,Yes,No,Yes,Yes,1998,10
DR-1258,Disaster,1998-11-05,KS,Butler County,Storm,Ks-Flooding  10/31/98,10/30/1998,11/15/1998,12/29/2008,Yes,No,Yes,Yes,1998,11
DR-1258,Disaster,1998-11-05,KS,Chase County,Storm,Ks-Flooding  10/31/98,10/30/1998,11/15/1998,12/29/2008,Yes,No,Yes,Yes,1998,11
