declarationNumber,declarationType,declarationDate,year,month,quarter,day,dayOfWeek,state,stateName,region,county,incidentType,disasterTitle,startDate,endDate,closeDate
FS-2438,Fire,2002-07-03,2002.0,7.0,3.0,3.0,Wednesday,NV,Nevada,West,Douglas County,Fire,Nv - Gondola Fire - 07/03/2002,2002-07-03,2002-07-09,2005-04-01
DR-1424,Disaster,2002-07-03,2002.0,7.0,3.0,3.0,Wednesday,MT,Montana,West,Blackfeet Indian Reservation,Storm,Severe Storms and Flooding,2002-06-08,,
DR-1425,Disaster,2002-07-04,2002.0,7.0,3.0,4.0,Thursday,TX,Texas,South,Atascosa County,Flood,Severe Storms and Flooding,,,2015-06-08
DR-1426,Disaster,2002-07-06,2002.0,7.0,3.0,6.0,Saturday,GU,Guam,Territory,Guam County-equivalent,Typhoon,Typhoon Chata'An,2002-07-05,2002-07-06,
DR-1427,Disaster,2002-07-11,2002.0,7.0,3.0,11.0,Thursday,FM,,,Chuuk County-equivalent,Typhoon,"Ts Chata'An, Inc Flooding, Mudslides and Landslides",2002-07-02,2002-07-04,
DR-1428,Disaster,2002-07-12,2002.0,7.0,3.0,12.0,Friday,VT,Vermont,Northeast,Caledonia County,Storm,Severe Storms and Flooding,2002-06-05,,2010-06-01
DR-1430,Disaster,2002-08-06,2002.0,8.0,3.0,6.0,Tuesday,MP,Northern Mariana Islands,Territory,Rota Municipality,Typhoon,Typhoon Chata'An,2002-07-04,2002-07-05,2010-06-08
FS-2462,Fire,2002-09-04,2002.0,9.0,3.0,4.0,Wednesday,CA,California,West,Los Angeles County,Fire,Leona Fire,2002-09-03,2002-09-12,2007-04-03
FS-2461,Fire,2002-09-04,2002.0,9.0,3.0,4.0,Wednesday,CA,California,West,Shasta County,Fire,Squirrel Fire,2002-09-03,2002-09-10,2007-04-03
DR-1432,Disaster,2002-09-10,2002.0,9.0,3.0,10.0,Tuesday,WI,Wisconsin,Midwest,Barron County,Tornado,"Severe Storms, Tornadoes, and Flooding",2002-09-02,2002-09-06,2011-01-03
DR-1431,Disaster,2002-09-10,2002.0,9.0,3.0,10.0,Tuesday,ND,North Dakota,Midwest,Fort Berthold Indian Reservation,Storm,"Severe Storms, Flooding and Tornadoes",2002-06-08,2002-08-11,2010-06-08
DR-1436,Disaster,2002-10-01,2002.0,10.0,4.0,1.0,Tuesday,MS,Mississippi,South,Amite County,Hurricane,Tropical Storm Isidore,,2002-10-06,
DR-1437,Disaster,2002-10-03,2002.0,10.0,4.0,3.0,Thursday,LA,Louisiana,South,Acadia Parish,Hurricane,Hurricane Lili,2002-10-01,,
DR-1438,Disaster,2002-10-09,2002.0,10.0,4.0,9.0,Wednesday,AL,Alabama,South,Baldwin County,Hurricane,Tropical Storm Isidore,,2002-10-01,
DR-1439,Disaster,2002-11-05,2002.0,11.0,4.0,5.0,Tuesday,TX,Texas,South,Aransas County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-1440,Disaster,2002-11-08,2002.0,11.0,4.0,8.0,Friday,AK,Alaska,West,Denali Borough,Earthquake,Earthquake,2002-11-03,2002-11-10,
DR-1445,Disaster,2002-12-04,2002.0,12.0,4.0,4.0,Wednesday,AK,Alaska,West,Chignik Lagoon ANV/ANVSA,Storm,"Severe Winter Storms, Flooding, Coastal Erosion and Tidal Surge",,,2012-09-05
DR-1446,Disaster,2002-12-08,2002.0,12.0,4.0,8.0,Sunday,GU,Guam,Territory,Guam County-equivalent,Typhoon,Super Typhoon Pongsona,2002-12-08,,2013-03-11
DR-1447,Disaster,2002-12-11,2002.0,12.0,4.0,11.0,Wednesday,MP,Northern Mariana Islands,Territory,Rota Municipality,Typhoon,Super Typhoon Pongsona,2002-12-08,,2016-02-10
DR-1448,Disaster,2002-12-12,2002.0,12.0,4.0,12.0,Thursday,NC,North Carolina,South,Alamance County,Ice,Severe Ice Storm,2002-12-04,2002-12-06,
DR-1449,Disaster,2003-01-06,2003.0,1.0,1.0,6.0,Monday,FM,,,Chuuk County-equivalent,Typhoon,Typhoon Pongsona,2002-12-05,2002-12-07,
DR-1450,Disaster,2003-01-06,2003.0,1.0,1.0,6.0,Monday,AR,Arkansas,South,Baxter County,Ice,Severe Ice Storm,2002-12-03,2002-12-04,
FM-2466,Fire,2003-01-07,2003.0,1.0,1.0,7.0,Tuesday,CA,California,West,Los Angeles County,Fire,Ca - Wildfire (Pacific Fire) - 01-06-2003,2003-01-06,2003-01-10,
DR-1451,Disaster,2003-01-08,2003.0,1.0,1.0,8.0,Wednesday,SC,South Carolina,South,Cherokee County,Ice,Severe Ice Storm,2002-12-04,2002-12-06,
EM-3172,Emergency,2003-02-01,2003.0,2.0,1.0,1.0,Saturday,LA,Louisiana,South,Acadia Parish,Other,Loss of Space Shuttle Columbia,2003-02-01,2003-02-01,
EM-3171,Emergency,2003-02-01,2003.0,2.0,1.0,1.0,Saturday,TX,Texas,South,Anderson County,Other,Loss of the Space Shuttle Columbia,2003-02-01,2003-02-01,
DR-1452,Disaster,2003-02-04,2003.0,2.0,1.0,4.0,Tuesday,OK,Oklahoma,South,Beckham County,Ice,Severe Ice Storm,2002-12-03,2002-12-04,
EM-3174,Emergency,2003-03-11,2003.0,3.0,1.0,11.0,Tuesday,ME,Maine,Northeast,Aroostook County,Snow,Snow,2003-02-02,2003-02-04,
EM-3175,Emergency,2003-03-11,2003.0,3.0,1.0,11.0,Tuesday,MA,Massachusetts,Northeast,Barnstable County,Snow,Snow,,,2010-06-09
EM-3176,Emergency,2003-03-11,2003.0,3.0,1.0,11.0,Tuesday,CT,Connecticut,Northeast,"Fairfield County(in PMSA 1160,1930,5760,8040",Snow,Snow,,,2008-05-07
EM-3177,Emergency,2003-03-11,2003.0,3.0,1.0,11.0,Tuesday,NH,New Hampshire,Northeast,Cheshire County,Snow,Snow,,,
EM-3185,Emergency,2003-04-09,2003.0,4.0,2.0,9.0,Wednesday,CO,Colorado,West,Adams County,Snow,Snow,,,2010-06-02
DR-1462,Disaster,2003-05-06,2003.0,5.0,2.0,6.0,Tuesday,KS,Kansas,Midwest,Allen County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-05-04,,2011-01-05
DR-1463,Disaster,2003-05-06,2003.0,5.0,2.0,6.0,Tuesday,MO,Missouri,Midwest,Audrain County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-05-04,,2011-01-11
DR-1464,Disaster,2003-05-08,2003.0,5.0,2.0,8.0,Thursday,TN,Tennessee,South,Anderson County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-05-04,,
FM-2467,Fire,2003-05-10,2003.0,5.0,2.0,10.0,Saturday,NM,New Mexico,West,,Fire,Nm-Walker Fire-05-09-03,2003-05-09,2003-05-10,
DR-1465,Disaster,2003-05-10,2003.0,5.0,2.0,10.0,Saturday,OK,Oklahoma,South,Beaver County,Storm,Severe Storms and Tornadoes,2003-05-08,,
DR-1466,Disaster,2003-05-12,2003.0,5.0,2.0,12.0,Monday,AL,Alabama,South,Baldwin County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-05-05,,2011-04-07
DR-1467,Disaster,2003-05-12,2003.0,5.0,2.0,12.0,Monday,NY,New York,Northeast,Cayuga County,Ice,Ice Storm,2003-04-03,2003-04-05,
DR-1471,Disaster,2003-06-03,2003.0,6.0,2.0,3.0,Tuesday,KY,Kentucky,South,Anderson County,Storm,"Severe Storms, Flooding, Mud and Rock Slides, and Tornadoes",2003-05-04,,
DR-1473,Disaster,2003-06-06,2003.0,6.0,2.0,6.0,Friday,AS,American Samoa,Territory,Eastern District,Storm,"Heavy Rainfall, Flooding, Landslides, and Mudslides",,,2015-09-10
DR-1472,Disaster,2003-06-06,2003.0,6.0,2.0,6.0,Friday,AR,Arkansas,South,Benton County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-05-02,2003-06-10,2012-09-12
DR-1475,Disaster,2003-07-02,2003.0,7.0,3.0,2.0,Wednesday,KY,Kentucky,South,Boyd County,Storm,"Severe Storms, Flooding, Mud and Rock Slides, and Tornadoes",,,2013-07-02
FM-2475,Fire,2003-07-03,2003.0,7.0,3.0,3.0,Thursday,CA,California,West,Riverside County,Fire,Ca-Railroad Fire-07-03-2003,2003-07-03,2003-07-04,
DR-1476,Disaster,2003-07-11,2003.0,7.0,3.0,11.0,Friday,IN,Indiana,Midwest,Adams County,Storm,"Severe Storms, Tornadoes, and Flooding",2003-07-04,2003-08-06,2012-07-09
FM-2476,Fire,2003-07-11,2003.0,7.0,3.0,11.0,Friday,NV,Nevada,West,Washoe County,Fire,Nv-Red Rock Fire 7-11-03,2003-07-10,2003-07-11,2005-09-11
FM-2477,Fire,2003-07-12,2003.0,7.0,3.0,12.0,Saturday,WA,Washington,West,Yakima County,Fire,Wa-Middle Fork Fire-07-12-2003,2003-07-11,,2005-03-03
DR-1484,Disaster,2003-08-01,2003.0,8.0,3.0,1.0,Friday,OH,Ohio,Midwest,Adams County,Tornado,"Tornadoes, Flooding, Severe Storms, and High Winds",,,
DR-1483,Disaster,2003-08-01,2003.0,8.0,3.0,1.0,Friday,ND,North Dakota,Midwest,Barnes County,Storm,Severe Storms and High Winds,,,
FM-2488,Fire,2003-08-11,2003.0,8.0,3.0,11.0,Monday,MT,Montana,West,Sweet Grass County,Fire,Mt-Hobble Fire-08/07/2003,2003-08-10,2003-09-09,
FM-2490,Fire,2003-08-12,2003.0,8.0,3.0,12.0,Tuesday,MT,Montana,West,Mineral County,Fire,Mt-Missoula/Mineral Fire Zone-08/08/03,2003-08-12,,
FM-2489,Fire,2003-08-12,2003.0,8.0,3.0,12.0,Tuesday,MT,Montana,West,Sanders County,Fire,Mt-Cherry Creek Fire -08/06/03,2003-08-10,,
FM-2495,Fire,2003-09-02,2003.0,9.0,3.0,2.0,Tuesday,OR,Oregon,West,Hood River County,Fire,Or-Wyeth/Herman Creek Fire 09-02-2003,2003-09-02,2003-09-08,
DR-1487,Disaster,2003-09-05,2003.0,9.0,3.0,5.0,Friday,IN,Indiana,Midwest,Blackford County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
FM-2498,Fire,2003-09-06,2003.0,9.0,3.0,6.0,Saturday,WA,Washington,West,Okanogan County,Fire,Wa-Needle Fire-09-06-2003,2003-09-05,,2005-03-03
FM-2497,Fire,2003-09-06,2003.0,9.0,3.0,6.0,Saturday,CA,California,West,San Bernardino County,Fire,Ca-Bridge Fire-09-05-2003,2003-09-05,2003-09-10,
FM-2496,Fire,2003-09-06,2003.0,9.0,3.0,6.0,Saturday,OR,Oregon,West,Jackson County,Fire,Or-Cove Road Fire-09-05-2003,2003-09-05,2003-09-08,
DR-1489,Disaster,2003-09-12,2003.0,9.0,3.0,12.0,Friday,NH,New Hampshire,Northeast,Cheshire County,Storm,Severe Storms and Flooding,,,2008-04-07
DR-1488,Disaster,2003-09-12,2003.0,9.0,3.0,12.0,Friday,VT,Vermont,Northeast,Bennington County,Storm,Severe Storms and Flooding,,,2011-01-04
DR-1499,Disaster,2003-11-07,2003.0,11.0,4.0,7.0,Friday,WA,Washington,West,Chelan County,Storm,Severe Storms and Flooding,,,2012-12-11
FM-2511,Fire,2003-11-12,2003.0,11.0,4.0,12.0,Wednesday,CO,Colorado,West,Larimer County,Fire,Co - Buckhorn Creek Fire - 11/11/2003,2003-11-11,,2010-10-06
DR-1503,Disaster,2003-12-09,2003.0,12.0,4.0,9.0,Tuesday,VI,Virgin Islands,Territory,St. Croix Island County-equivalent,Storm,"Severe Storms, Flooding, Landslides, and Mudslides",2003-11-10,,
DR-1502,Disaster,2003-12-09,2003.0,12.0,4.0,9.0,Tuesday,VA,Virginia,South,Galax,Storm,Severe Storms and Flooding,,,
DR-1508,Disaster,2004-02-05,2004.0,2.0,1.0,5.0,Thursday,ME,Maine,Northeast,Franklin County,Storm,"Severe Storms, Flooding, Snow Melt and Ice Jams",2003-12-10,,2010-11-08
EM-3195,Emergency,2004-03-03,2004.0,3.0,1.0,3.0,Wednesday,NY,New York,Northeast,Cayuga County,Snow,Snow,,,
FM-2514,Fire,2004-04-01,2004.0,4.0,2.0,1.0,Thursday,CO,Colorado,West,Larimer County,Fire,Co - Picnic Rock Fire - 03/30/2004,2004-04-01,2004-04-07,2010-07-07
EM-3196,Emergency,2004-04-02,2004.0,4.0,2.0,2.0,Friday,ND,North Dakota,Midwest,Fort Berthold Indian Reservation,Snow,Snow,,,
DR-1511,Disaster,2004-04-10,2004.0,4.0,2.0,10.0,Saturday,FM,,,Yap County-equivalent,Typhoon,Typhoon Sudal,2004-04-08,,
FM-2517,Fire,2004-05-04,2004.0,5.0,2.0,4.0,Tuesday,CA,California,West,Riverside County,Fire,Ca-Cerritos Fire-5-04-2004,2004-05-03,2004-05-10,
FM-2516,Fire,2004-05-04,2004.0,5.0,2.0,4.0,Tuesday,CA,California,West,Riverside County,Fire,Ca-Eagle Fire-05-04-2004,2004-05-02,2004-05-08,
DR-1515,Disaster,2004-05-05,2004.0,5.0,2.0,5.0,Wednesday,ND,North Dakota,Midwest,Spirit Lake Reservation,Storm,"Severe Storms, Flooding, and Ground Saturation",,,
DR-1516,Disaster,2004-05-07,2004.0,5.0,2.0,7.0,Friday,AR,Arkansas,South,Baxter County,Storm,"Sever Storms, Flooding and Landslides",,,
DR-1520,Disaster,2004-06-03,2004.0,6.0,2.0,3.0,Thursday,IN,Indiana,Midwest,Adams County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-1519,Disaster,2004-06-03,2004.0,6.0,2.0,3.0,Thursday,OH,Ohio,Midwest,Athens County,Storm,Severe Storms and Flooding,,,2011-10-05
FM-2519,Fire,2004-06-05,2004.0,6.0,2.0,5.0,Saturday,CA,California,West,Santa Barbara County,Fire,Ca-Gaviota Fire-06-05-2004,2004-06-05,,
DR-1522,Disaster,2004-06-07,2004.0,6.0,2.0,7.0,Monday,WV,West Virginia,South,Boone County,Storm,"Severe Storms, Flooding, and Landslides",,,
DR-1521,Disaster,2004-06-08,2004.0,6.0,2.0,8.0,Tuesday,LA,Louisiana,South,Acadia Parish,Storm,Severe Storms and Flooding,2004-05-12,,2012-01-10
FM-2520,Fire,2004-06-09,2004.0,6.0,2.0,9.0,Wednesday,AZ,Arizona,West,Apache County,Fire,Three Forks Fire,2004-06-08,,
DR-1523,Disaster,2004-06-10,2004.0,6.0,2.0,10.0,Thursday,KY,Kentucky,South,Bath County,Storm,"Severe Storms, Tornadoes, Flooding, and Mudslides",,,
DR-1524,Disaster,2004-06-11,2004.0,6.0,2.0,11.0,Friday,MO,Missouri,Midwest,Adair County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
FM-2525,Fire,2004-07-01,2004.0,7.0,3.0,1.0,Thursday,AK,Alaska,West,Fairbanks North Star Borough,Fire,Boundary Fire,,2004-08-01,2008-01-08
FM-2526,Fire,2004-07-03,2004.0,7.0,3.0,3.0,Saturday,CO,Colorado,West,Delta County,Fire,Co-Mcgruder Fire-07/03/2004,2004-07-03,2004-07-11,2009-02-05
FM-2527,Fire,2004-07-06,2004.0,7.0,3.0,6.0,Tuesday,WA,Washington,West,Douglas County,Fire,Wa-Beebe Fire-07-04-2004,2004-07-05,2004-07-09,2006-09-05
DR-1534,Disaster,2004-08-03,2004.0,8.0,3.0,3.0,Tuesday,NY,New York,Northeast,Albany County,Storm,Severe Storms and Flooding,,,
DR-1535,Disaster,2004-08-03,2004.0,8.0,3.0,3.0,Tuesday,KS,Kansas,Midwest,Barton County,Storm,"Severe Storms, Flooding, and Tornadoes",2004-06-12,,2011-03-08
FM-2539,Fire,2004-08-04,2004.0,8.0,3.0,4.0,Wednesday,OR,Oregon,West,Josephine County,Fire,Or-Redwood Highway Wildfire-08-04-2004,2004-08-04,2004-08-06,2006-09-05
DR-1536,Disaster,2004-08-06,2004.0,8.0,3.0,6.0,Friday,WV,West Virginia,South,Fayette County,Storm,"Severe Storms, Flooding, and Landslides",,2004-09-01,2010-11-09
DR-1538,Disaster,2004-08-06,2004.0,8.0,3.0,6.0,Friday,PA,Pennsylvania,Northeast,Berks County,Storm,Severe Storms and Flooding,,,2011-07-07
DR-1537,Disaster,2004-08-06,2004.0,8.0,3.0,6.0,Friday,KY,Kentucky,South,Adair County,Storm,Severe Storms and Flooding,,,
FM-2540,Fire,2004-08-07,2004.0,8.0,3.0,7.0,Saturday,CA,California,West,Calaveras County,Fire,Ca-Calaveras Complex-08-07-2004,2004-08-06,2004-08-12,
FM-2541,Fire,2004-08-08,2004.0,8.0,3.0,8.0,Sunday,CA,California,West,Placer County,Fire,Ca-Stevens Fire-08--8-2004,2004-08-08,,2010-01-05
FM-2542,Fire,2004-08-10,2004.0,8.0,3.0,10.0,Tuesday,AK,Alaska,West,Yukon Flats Regional Educational Attendance Area,Fire,Ak-Bolgen Creek Fire-08-10-2004,,2004-09-01,2008-01-03
FM-2544,Fire,2004-08-11,2004.0,8.0,3.0,11.0,Wednesday,CA,California,West,Shasta County,Fire,Ca-Bear Fire-08-11-2004,2004-08-11,,
FM-2545,Fire,2004-08-11,2004.0,8.0,3.0,11.0,Wednesday,CA,California,West,Butte County,Fire,Ca Oregon Fire 08-11-2004,2004-08-11,,
FM-2543,Fire,2004-08-11,2004.0,8.0,3.0,11.0,Wednesday,WA,Washington,West,Chelan County,Fire,Wa-Fischer Wildfire-08-11-2004,2004-08-11,,2006-11-07
FM-2546,Fire,2004-08-12,2004.0,8.0,3.0,12.0,Thursday,WA,Washington,West,Yakima County,Fire,Mud Lake Fire,2004-08-12,,2006-09-06
FM-2551,Fire,2004-09-01,2004.0,9.0,3.0,1.0,Wednesday,AK,Alaska,West,Dot Lake ANV/ANVSA,Fire,Ak-Taylor Complex Fire-09-01-2004,2004-08-09,2004-09-12,2008-01-03
DR-1542,Disaster,2004-09-01,2004.0,9.0,3.0,1.0,Wednesday,IN,Indiana,Midwest,Clark County,Storm,"Severe Storms, Tornadoes, and Flooding",2004-07-03,,2013-03-11
DR-1543,Disaster,2004-09-01,2004.0,9.0,3.0,1.0,Wednesday,SC,South Carolina,South,Georgetown County,Hurricane,Hurricane Charley,,,
FM-2552,Fire,2004-09-02,2004.0,9.0,3.0,2.0,Thursday,CA,California,West,Mariposa County,Fire,Ca-Bear Fire-09-02-2004,2004-09-02,2004-09-07,
FM-2553,Fire,2004-09-03,2004.0,9.0,3.0,3.0,Friday,CA,California,West,Calaveras County,Fire,Ca-Pattison Fire-09-03-2004,2004-09-03,2004-09-08,
DR-1544,Disaster,2004-09-03,2004.0,9.0,3.0,3.0,Friday,VA,Virginia,South,Colonial Heights,Storm,"Severe Storms, Flooding and Tornadoes Associated W Td Gaston",,2004-09-08,
FM-2554,Fire,2004-09-04,2004.0,9.0,3.0,4.0,Saturday,CA,California,West,Lake County,Fire,Ca-Geysers Fire-09-04-2004,2004-09-03,,2010-01-05
DR-1545,Disaster,2004-09-04,2004.0,9.0,3.0,4.0,Saturday,FL,Florida,South,Alachua County,Hurricane,Hurricane Frances,2004-09-03,2004-10-08,
DR-1546,Disaster,2004-09-10,2004.0,9.0,3.0,10.0,Friday,NC,North Carolina,South,Alexander County,Hurricane,Tropical Storm Frances,2004-09-07,2004-09-12,
DR-1563,Disaster,2004-10-01,2004.0,10.0,4.0,1.0,Friday,NJ,New Jersey,Northeast,Hunterdon County,Storm,Severe Storms and Flooding,,2004-10-01,
DR-1564,Disaster,2004-10-01,2004.0,10.0,4.0,1.0,Friday,NY,New York,Northeast,Allegany County,Storm,Severe Storms and Flooding,,,
DR-1565,Disaster,2004-10-01,2004.0,10.0,4.0,1.0,Friday,NY,New York,Northeast,Broome County,Storm,Tropical Depression Ivan,,,
DR-1568,Disaster,2004-10-07,2004.0,10.0,4.0,7.0,Thursday,TN,Tennessee,South,Campbell County,Storm,Severe Storms and Flooding,,,2012-07-12
DR-1569,Disaster,2004-10-07,2004.0,10.0,4.0,7.0,Thursday,MN,Minnesota,Midwest,Dodge County,Storm,Severe Storms and Flooding,,,
DR-1566,Disaster,2004-10-07,2004.0,10.0,4.0,7.0,Thursday,SC,South Carolina,South,Berkeley County,Hurricane,Tropical Storm Frances,2004-09-06,2004-10-11,2011-11-02
DR-1567,Disaster,2004-10-07,2004.0,10.0,4.0,7.0,Thursday,VI,Virgin Islands,Territory,St. Croix Island County-equivalent,Hurricane,Tropical Storm Jeanne,,,
EM-3197,Emergency,2005-01-11,2005.0,1.0,1.0,11.0,Tuesday,IN,Indiana,Midwest,Bartholomew County,Snow,Snow,,,2010-06-09
EM-3198,Emergency,2005-01-11,2005.0,1.0,1.0,11.0,Tuesday,OH,Ohio,Midwest,Butler County,Snow,Snow,,,
DR-1574,Disaster,2005-02-01,2005.0,2.0,1.0,1.0,Tuesday,WV,West Virginia,South,Brooke County,Storm,"Severe Storms, Flooding, and Landslides",2005-01-04,,
DR-1575,Disaster,2005-02-01,2005.0,2.0,1.0,1.0,Tuesday,HI,Hawaii,West,Honolulu County,Storm,Severe Storms and Flash Flooding,,,2016-03-10
DR-1576,Disaster,2005-02-01,2005.0,2.0,1.0,1.0,Tuesday,UT,Utah,West,Kane County,Storm,Severe Storms and Flooding,2005-01-08,2005-01-12,
EM-3199,Emergency,2005-02-01,2005.0,2.0,1.0,1.0,Tuesday,IL,Illinois,Midwest,Edwards County,Snow,Record/Near Record Snow,,,2010-06-09
DR-1577,Disaster,2005-02-04,2005.0,2.0,1.0,4.0,Friday,CA,California,West,Kern County,Storm,"Severe Storms, Flooding, Debris Flows, and Mudslides",,2005-01-11,
DR-1578,Disaster,2005-02-08,2005.0,2.0,1.0,8.0,Tuesday,KY,Kentucky,South,Ballard County,Snow,Severe Winter Storm and Record Snow,,,
DR-1579,Disaster,2005-02-08,2005.0,2.0,1.0,8.0,Tuesday,KS,Kansas,Midwest,Kiowa Township of,Storm,"Severe Winter Storms, Heavy Rains, and Flooding",2005-01-04,2005-01-06,
DR-1583,Disaster,2005-03-07,2005.0,3.0,1.0,7.0,Monday,NV,Nevada,West,Clark County,Storm,Heavy Rains and Flooding,2005-01-07,,2014-04-08
EM-3209,Emergency,2005-04-01,2005.0,4.0,2.0,1.0,Friday,ME,Maine,Northeast,Androscoggin County,Snow,Snow,2005-03-09,2005-03-09,
FM-2559,Fire,2005-06-08,2005.0,6.0,2.0,8.0,Wednesday,AZ,Arizona,West,Maricopa County,Fire,Az-Bobby Fire-06-08-2005,2005-06-08,,
FM-2560,Fire,2005-06-12,2005.0,6.0,2.0,12.0,Sunday,AZ,Arizona,West,Mohave County,Fire,Az-Hulet Fire-06-11-2005,2005-06-11,,
DR-1592,Disaster,2005-07-06,2005.0,7.0,3.0,6.0,Wednesday,ID,Idaho,West,Nez Perce Indian Reservation,Flood,Heavy Rains and Flooding,2005-05-06,,
DR-1594,Disaster,2005-07-10,2005.0,7.0,3.0,10.0,Sunday,MS,Mississippi,South,Attala County,Hurricane,Hurricane Dennis,2005-07-10,,
DR-1595,Disaster,2005-07-10,2005.0,7.0,3.0,10.0,Sunday,FL,Florida,South,Bay County,Hurricane,Hurricane Dennis,2005-07-07,,
DR-1593,Disaster,2005-07-10,2005.0,7.0,3.0,10.0,Sunday,AL,Alabama,South,Autauga County,Hurricane,Hurricane Dennis,2005-07-10,,
FM-2566,Fire,2005-07-10,2005.0,7.0,3.0,10.0,Sunday,CO,Colorado,West,Custer County,Fire,Mason Fire ,2005-07-08,,2010-07-07
FM-2565,Fire,2005-07-10,2005.0,7.0,3.0,10.0,Sunday,SD,South Dakota,Midwest,Meade County,Fire,Sd Ricco Fire,2005-07-09,,
FM-2572,Fire,2005-08-01,2005.0,8.0,3.0,1.0,Monday,WA,Washington,West,Chelan County,Fire,Dirty Face Fire,,2005-08-08,
DR-1598,Disaster,2005-08-01,2005.0,8.0,3.0,1.0,Monday,UT,Utah,West,Uintah and Ouray Indian Reservation,Flood,Flooding and Landslides,,,
FM-2573,Fire,2005-08-02,2005.0,8.0,3.0,2.0,Tuesday,HI,Hawaii,West,Hawaii County,Fire,Lalamilo Fire,2005-08-01,2005-08-06,
FM-2574,Fire,2005-08-04,2005.0,8.0,3.0,4.0,Thursday,HI,Hawaii,West,Hawaii County,Fire,Akoni Pule Highway Fire,2005-08-02,2005-08-06,
FM-2575,Fire,2005-08-07,2005.0,8.0,3.0,7.0,Sunday,WA,Washington,West,Columbia County,Fire,School Fire,2005-08-07,,
EM-3216,Emergency,2005-09-02,2005.0,9.0,3.0,2.0,Friday,TX,Texas,South,Anderson County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2014-07-01
EM-3215,Emergency,2005-09-02,2005.0,9.0,3.0,2.0,Friday,AR,Arkansas,South,Arkansas County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2013-02-07
FM-2582,Fire,2005-09-05,2005.0,9.0,3.0,5.0,Monday,CA,California,West,San Diego County,Fire,Sundevil Fire,2005-09-05,2005-09-07,2009-12-03
EM-3217,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,TN,Tennessee,South,Anderson County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2012-07-03
EM-3219,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,OK,Oklahoma,South,Adair County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
EM-3222,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,NC,North Carolina,South,Alamance County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
EM-3218,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,GA,Georgia,South,Appling County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
EM-3220,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,FL,Florida,South,Alachua County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2012-07-03
EM-3224,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,CO,Colorado,West,Adams County,Storm,Hurricane Katrina Evacuation,,2005-10-01,
EM-3221,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,WV,West Virginia,South,Barbour County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2007-07-02
EM-3223,Emergency,2005-09-05,2005.0,9.0,3.0,5.0,Monday,UT,Utah,West,Beaver County,Storm,Hurricane Katrina Evacuation,,2005-10-01,
EM-3226,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,DC,District of Columbia,South,District of Columbia County-equivalent,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2010-03-09
EM-3228,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,OR,Oregon,West,Baker County,Storm,Hurricane Katrina Evacuation,,2005-10-01,2008-04-09
EM-3230,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,IL,Illinois,Midwest,Adams County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2012-02-01
EM-3225,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,MI,Michigan,Midwest,Alcona County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
EM-3227,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,WA,Washington,West,Adams County,Storm,Hurricane Katrina Evacuation,,2005-10-01,2010-03-08
EM-3229,Emergency,2005-09-07,2005.0,9.0,3.0,7.0,Wednesday,NM,New Mexico,West,Bernalillo County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
EM-3232,Emergency,2005-09-10,2005.0,9.0,3.0,10.0,Saturday,MO,Missouri,Midwest,St. Louis,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,2008-07-02
EM-3233,Emergency,2005-09-10,2005.0,9.0,3.0,10.0,Saturday,SC,South Carolina,South,Abbeville County,Hurricane,Hurricane Katrina Evacuation,,2005-10-01,
